# Cerca lineal. Temps en microsegons
# Talla      Pitjor     Millor    Promedi
#----------------------------------------
   10000      6.256      1.782      3.793
   20000      9.570      1.802      8.852
   30000     13.606      1.808     12.233
   40000     17.334      1.784     15.614
   50000     21.300      1.786     19.722
   60000     26.579      1.805     22.882
   70000     30.381      1.938     29.666
   80000     38.704      2.022     31.171
   90000     39.218      1.836     34.889
  100000     44.146      1.814     37.503
